theta_center_deg,counts,dOmega_sr,cos_theta,I_m2_sr_s,I_cm2_sr_s
0.5,220,0.0009569595555746597,0.9999619230641713,63.86209089774316,0.006386209089774316
1.5,670,0.0028705871675736385,0.9996573249755573,64.85603736598296,0.006485603736598296
2.5,1169,0.004783340370913659,0.9990482215818578,67.95075304320227,0.006795075304320227
3.5,1583,0.006694636522438575,0.9981347984218669,65.80550325183773,0.006580550325183773
4.5,1995,0.0086038934228263,0.996917333733128,64.60798997321427,0.006460798997321427
5.5,2501,0.010510529493930871,0.9953961983671789,66.4034460546686,0.006640344605466861
6.5,2907,0.012413963955932687,0.9935718556765875,65.46855718603773,0.006546855718603773
7.5,3228,0.014313617004256452,0.9914448613738104,63.18486569243309,0.0063184865692433095
8.5,3746,0.01620890998618289,0.9890158633619168,64.90949110717978,0.0064909491107179775
9.5,4091,0.018099265577108163,0.9862856015372314,63.65951609707477,0.006365951609707477
10.5,4538,0.019984107956405716,0.9832549075639546,64.15213301155099,0.006415213301155099
11.5,5091,0.02186286298283046,0.9799247046208296,66.0086508904008,0.00660086508904008
12.5,5625,0.023734958369400507,0.9762960071199334,67.42951540963011,0.006742951540963011
13.5,6297,0.025599823857725038,0.9723699203976766,70.26882631108018,0.007026882631108017
14.5,6473,0.027456891391711286,0.9681476403781077,67.64102017910058,0.006764102017910058
15.5,6648,0.029305595290599114,0.963630453208623,65.3924254464656,0.006539242544646559
16.5,6701,0.031145372421272167,0.958819734868193,62.33136311890301,0.006233136311890301
17.5,7141,0.03297566236979265,0.9537169507482269,63.07300213196606,0.006307300213196605
18.5,7430,0.03479590761211295,0.9483236552061993,62.546290855755636,0.006254629085575563
19.5,7911,0.03660555368389996,0.9426414910921784,63.684735859175305,0.00636847358591753
20.5,8025,0.03840404934942882,0.9366721892483976,61.969486212898474,0.0061969486212898476
21.5,8030,0.04019084676949661,0.9304175679820246,59.649661863648475,0.0059649661863648475
22.5,8292,0.04196540166830146,0.9238795325112867,59.40870182488089,0.005940870182488089
23.5,7992,0.043727173499230776,0.917060074385124,55.36098167999085,0.005536098167999085
24.5,8336,0.04547562560951646,0.9099612708765432,55.95689582031477,0.005595689582031477
25.5,8565,0.04721022540370926,0.9025852843498606,55.834231643436105,0.0055834231643436105
26.5,8673,0.048930444505909304,0.8949343616020251,55.01694880349332,0.005501694880349332
27.5,8829,0.05063575892071238,0.8870108331782217,54.60378759246226,0.005460378759246226
28.5,9003,0.05232564919282943,0.8788171126619654,54.38405908303452,0.005438405908303452
29.5,8863,0.05399960056531026,0.8703556959398997,52.383067335786734,0.005238306733578673
30.5,8918,0.05565710313635528,0.8616291604415258,51.656381457549756,0.005165638145754976
31.5,9342,0.05729765201462194,0.8526401643540922,53.11714818500203,0.005311714818500203
32.5,9007,0.05892074747302925,0.8433914458128857,50.34776801540816,0.005034776801540816
33.5,9012,0.06052589510097954,0.8338858220671682,49.59876600156679,0.004959876600156679
34.5,9183,0.06211260595495276,0.8241261886220157,49.83203441813417,0.004983203441813417
35.5,9038,0.06368039670745518,0.8141155183563192,48.42593812737388,0.004842593812737388
36.5,9055,0.06522878979423467,0.8038568606172173,47.96980026860894,0.004796980026860894
37.5,8917,0.06675731355975692,0.7933533402912352,46.76821125319068,0.004676821125319068
38.5,8766,0.0682655024008756,0.7826081568524139,45.57779436978169,0.0045577794369781694
39.5,8886,0.06975289690866165,0.77162458338772,45.860153457357804,0.00458601534573578
40.5,8476,0.07121904400833659,0.7604059656000309,43.47572091099019,0.004347572091099019
41.5,8512,0.072663497097293,0.7489557207890022,43.44668811302592,0.004344668811302592
42.5,8555,0.07408581618112636,0.737277336810124,43.50624077897506,0.004350624077897506
43.5,8234,0.07548556800766468,0.7253743710122876,41.77170743312243,0.004177170743312243
44.5,8072,0.07686232619894394,0.7132504491541816,40.89997802033678,0.004089997802033678
45.5,7952,0.0782156713810809,0.7009092642998509,40.29195059684293,0.004029195059684293
46.5,7669,0.07954519131202192,0.688354575693754,38.9054195171987,0.00389054195171987
47.5,7761,0.08085048100711806,0.6755902076156602,39.468373429062254,0.003946837342906225
48.5,7458,0.08213114286248396,0.6626200482157375,38.06689379075972,0.0038066893790759723
49.5,7475,0.08338678677611072,0.6494480483301837,38.34131828806651,0.003834131828806651
50.5,6920,0.08461703026670023,0.636078220277764,35.71373643089328,0.0035713736430893275
51.5,6712,0.08582149859016704,0.6225146366376195,34.89826098676384,0.0034898260986763836
52.5,6456,0.08699982485379065,0.6087614290087207,33.860667472311526,0.0033860667472311525
53.5,6242,0.08815165012797947,0.5948227867513414,33.067641444136534,0.0033067641444136536
54.5,5998,0.08927662355559307,0.5807029557109398,32.137505741091964,0.0032137505741091964
55.5,5721,0.09037440245883145,0.5664062369248328,31.04530860352188,0.0031045308603521882
56.5,5332,0.09144465244360253,0.5519369853120581,29.345386187345458,0.002934538618734546
57.5,5076,0.09248704750139651,0.5372996083468239,28.37407243768291,0.002837407243768291
58.5,4787,0.09350127010857849,0.5224985647159489,27.21813191624987,0.002721813191624987
59.5,4451,0.09448701132311756,0.5075383629607042,25.781851745633197,0.0025781851745633197
60.5,4369,0.09544397087869361,0.4924235601034671,25.822139364780398,0.00258221393647804
61.5,4161,0.09637185727615213,0.4771587602596084,25.135184921082917,0.002513518492108292
62.5,3813,0.09727038787230982,0.46174861323503386,23.581860016995968,0.0023581860016995966
63.5,3692,0.09813928896604111,0.4461978131098087,23.420105497809057,0.0023420105497809055
64.5,3439,0.09897829588165775,0.43051109680829525,22.418438134474542,0.0022418438134474542
65.5,3107,0.09978715304952394,0.41469324265623914,20.856295023238708,0.0020856295023238707
66.5,2877,0.1005656140839118,0.39874906892524625,19.929122158825702,0.0019929122158825704
67.5,2648,0.1013134418580485,0.38268343236508984,18.97180926583257,0.0018971809265832568
68.5,2546,0.10203040857634853,0.3665012267242973,18.91258270297011,0.001891258270297011
69.5,2245,0.10271629584380805,0.35020738125946743,17.3360120308982,0.00173360120308982
70.5,2026,0.10337089473251714,0.3338068592337709,16.309603697470482,0.0016309603697470482
71.5,1778,0.10399400584531478,0.3173046564050921,14.967335819856203,0.0014967335819856204
72.5,1586,0.10458543937651855,0.30070579950427306,14.008371569989944,0.0014008371569989944
73.5,1367,0.10514501516974731,0.28401534470392276,12.715560869055572,0.0012715560869055573
74.5,1221,0.10567256277279184,0.26723837607825696,12.010251424508777,0.0012010251424508776
75.5,1068,0.10616792148954322,0.2503800040544415,11.160298092272344,0.0011160298092272344
76.5,919,0.10663094042893702,0.23344536385590547,10.255209048734768,0.0010255209048734767
77.5,790,0.10706147855091762,0.2164396139381029,9.470100830863798,0.0009470100830863798
78.5,703,0.10745940470940647,0.1993679344171972,9.114924685906765,0.0009114924685906764
79.5,559,0.10782459769223707,0.18223552549214744,7.902389236107591,0.000790238923610759
80.5,486,0.10815694625808996,0.1650476058606776,7.5625824549448115,0.0007562582454944812
81.5,394,0.10845634917037308,0.14780941112961055,6.827106112180679,0.0006827106112180679
82.5,303,0.10872271522805839,0.1305261922200517,5.930921407932578,0.0005930921407932578
83.5,257,0.10895596329346482,0.11320321376790683,5.78789790052002,0.000578789790052002
84.5,186,0.10915602231697188,0.09584575252022406,4.938441010063486,0.0004938441010063486
85.5,135,0.10932283135866315,0.078459095727845,4.37196924630752,0.000437196924630752
86.5,93,0.10945633960688697,0.06104853953485691,3.8660213533929433,0.00038660213533929435
87.5,63,0.10955650639374206,0.04361938736533601,3.662016631071125,0.0003662016631071125
88.5,48,0.10962330120745047,0.02617694830787314,4.646402676965923,0.00046464026769659227
89.5,7,0.10965670370166634,0.008726535498373897,2.0319756194732466,0.00020319756194732465
